Week;Date;Till;Accounts;Total;Cash;# Cust.;Cash Av Spend;EFTPOS;# Cust.2;Cust # TOTAL;EFTPOS Av $pend;TOTAL Av Spend;Notes;Till Up Down;Reserved column;# of the week;Year;Day of the week;Week + Year;IsCristmas;Fixed
20;8 феврал€ 2008 г.;$865,81;$0,00;$0,00;$764,60;46;$16,62;$101,21;3;49;$33,74;$17,67;;$0,40;;6;2008;Fri;2008-6;0;
20;9 феврал€ 2008 г.;$651,19;$0,00;$0,00;$486,10;35;$13,89;$165,09;5;40;$33,02;$16,28;;$0,00;;6;2008;Sat;2008-6;0;
;10 феврал€ 2008 г.;$5 340,38;$2 044,18;$7 384,56;;227;$14,67;$1 963,88;28;255;$60,67;$21,55;;;;7;2008;Sun;2008-7;0;
21;11 феврал€ 2008 г.;$1 394,19;$0,00;$0,00;$613,95;45;$13,64;$780,24;8;53;$97,53;$26,31;Bakery paid $448.77;-$0,30;;7;2008;Mon;2008-7;0;
21;12 феврал€ 2008 г.;$594,44;$0,00;$0,00;$515,30;38;$13,56;$79,12;3;41;$26,37;$14,50;;$0,10;;7;2008;Tue;2008-7;0;
21;13 феврал€ 2008 г.;$1 164,83;$0,00;$0,00;$490,40;39;$12,57;$674,43;6;45;$112,41;$25,89;Plainland cheque$367.26 counted in takings in EFT;-$0,05;;7;2008;Wed;2008-7;0;
21;14 феврал€ 2008 г.;$1 283,75;$0,00;$0,00;$589,00;31;$19,00;$694,75;4;35;$173,69;$36,68;;$0,05;;7;2008;Thu;2008-7;0;
21;15 феврал€ 2008 г.;$910,42;$0,00;$0,00;$832,10;50;$16,64;$78,32;4;54;$19,58;$16,86;;-$10,55;;7;2008;Fri;2008-7;0;
21;16 феврал€ 2008 г.;$569,69;$0,00;$0,00;$445,85;28;$15,92;$123,84;5;33;$24,77;$17,26;;$0,00;;7;2008;Sat;2008-7;0;
;17 феврал€ 2008 г.;$5 917,32;$951,70;$6 869,02;;231;$15,22;$2 430,70;30;261;$75,72;$22,92;;;;8;2008;Sun;2008-8;0;
22;18 феврал€ 2008 г.;$650,74;$0,00;$0,00;$465,80;34;$13,70;$184,94;20;54;$9,25;$12,05;Oxley $88.60 included in takings;$0,05;;8;2008;Mon;2008-8;0;
22;19 феврал€ 2008 г.;$639,87;$0,00;$0,00;$335,60;36;$9,32;$304,27;5;41;$60,85;$15,61;;$5,05;;8;2008;Tue;2008-8;0;
